citing_doi,ref_doi,ref_key,ref_author,ref_year,ref_title,ref_journal,raw,citing_affiliations,citing_affiliation_countries,citing_latitude_mean,citing_longitude_mean,citing_affiliation_locations_json,citing_journal_name,row_type,doi,cited_by_count,publication_year,counts_by_year_json,open_access_json,best_oa_location_json,updated_utc
10.1002/adem.202500508,10.1016/j.actamat.2023.119401,e_1_2_9_3_1,,,,,,Northwestern Polytechnical University,CN,,,,Advanced Engineering Materials,map,10.1016/j.actamat.2023.119401,0,,[],{},{},2026-05-24T17:42:40Z
10.1002/jemt.24453,10.3390/cryst12020156,e_1_2_9_50_1,,,,,,"Brno University of Technology; Central European Institute of Technology; Czech Academy of Sciences, Institute of Physics of Materials; Ruhr University Bochum",AT; CZ; DE,,,,Microscopy Research and Technique,map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T17:42:40Z
10.1002/jemt.24453,10.3390/ma16041549,e_1_2_9_51_1,,,,,,"Brno University of Technology; Central European Institute of Technology; Czech Academy of Sciences, Institute of Physics of Materials; Ruhr University Bochum",AT; CZ; DE,,,,Microscopy Research and Technique,map,10.3390/ma16041549,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/978-3-031-63937-1_2,10.3390/cryst12020156,2_CR30,,,,,"Thome, P., Schneider, M., Yardley, V., Payton, E., & Eggeler, G. (2022). Crystallographic analysis of plate and lath martensite in Fe-Ni alloys. Crystals, 12, 156.",University of Arizona,US,,,,"The minerals, metals & materials series",map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/978-3-031-63937-1_2,10.3390/ma16041549,2_CR31,,,,,"Thome, P., Schneider, M., Yardley, V., Payton, E., & Eggeler, G. (2023). Local maxima in martensite start temperatures in the transition region between lath and plate martensite in Fe-Ni alloys. Materials, 16, 1549.",University of Arizona,US,,,,"The minerals, metals & materials series",map,10.3390/ma16041549,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/978-3-031-63937-1_73,10.1016/j.scriptamat.2017.04.018,73_CR5,V Miller,2017.0,,Scripta Materialia,"V. Miller, E. Payton, A. Pilchak, Reduction in the thermodynamic nucleation barrier via the heteroepitaxial recrystallization mechanism, Scripta Materialia 136 (2017) 128–131.",University of Cincinnati; University of Florida,US,,,,"The minerals, metals & materials series",map,10.1016/j.scriptamat.2017.04.018,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/978-3-031-63937-1_73,10.1007/s13632-023-01036-z,73_CR12,,,,,"Y. Lee, E. Hershkovitz, H. Kim, K. N. Wertz, E. J. Payton, V. M. Miller, Prevalence of Heteroepitaxial Recrystallization in the Low Solvus High Refractory (LSHR) $$\gamma -\gamma $$’ Superalloy, Metallography, Microstructure, and Analysis (2024).",University of Cincinnati; University of Florida,US,,,,"The minerals, metals & materials series",map,10.1007/s13632-023-01036-z,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/978-3-031-63937-1_73,10.1007/s11661-011-1035-y,73_CR14,,,,,"S. L. Semiatin, K. E. McClary, A. D. Rollett, C. G. Roberts, E. J. Payton, F. Zhang, T. P. Gabb, Microstructure Evolution during Supersolvus Heat Treatment of a Powder Metallurgy Nickel-Base Superalloy, Metallurgical and Materials Transactions A 43 (2012) 1649–1661. ADS Bibcode: 2012MMTA...43.1649S.",University of Cincinnati; University of Florida,US,,,,"The minerals, metals & materials series",map,10.1007/s11661-011-1035-y,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11182-023-03075-z,10.3390/cryst12020156,3075_CR8,P Thome,2022.0,,Crystals,"P. Thome, M. Schneider, V. A.Yardley, E. J. Payton, and G. Eggeler, Crystals, 12, 156 (2022). https://doi.org/10.3390/cryst12020156.",Ural Federal University,RU,,,,Russian Physics Journal,map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11182-023-03075-z,10.3390/ma16041549,3075_CR9,P Thome,2023.0,,Materials,"P. Thome, M. Schneider, V. A. Yardley, E. J. Payton, and G. Eggeler, Materials, 16, 1549 (2023). https://doi.org/10.3390/ma16041549.",Ural Federal University,RU,,,,Russian Physics Journal,map,10.3390/ma16041549,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11182-024-03201-5,10.3390/cryst12020156,3201_CR10,P Thome,2022.0,,Crystals,"P. Thome, M. Schneider, V. A.Yardley, E. J. Payton, and G. Eggeler, Crystals, 12, 156 (2022). https://doi.org/https://doi.org/10.3390/cryst12020156.",Ural Federal University,RU,,,,Russian Physics Journal,map,10.3390/cryst12020156,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11182-024-03201-5,10.3390/ma16041549,3201_CR11,P Thome,2023.0,,Materials,"P. Thome, M. Schneider, V. A. Yardley, E. J. Payton, and G. Eggeler, Materials, 16, 1549 (2023). https://doi.org/https://doi.org/10.3390/ma16041549.",Ural Federal University,RU,,,,Russian Physics Journal,map,10.3390/ma16041549,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11661-024-07368-x,10.1016/j.actamat.2023.119401,7368_CR48,GH Balbus,2024.0,,Acta Mater.,"G.H. Balbus, S.I. Rao, O.N. Senkov, and E.J. Payton: Acta Mater., 2024, vol. 262, p. 119401. https://doi.org/10.1016/j.actamat.2023.119401.","General Electric (United States); United States Air Force Research Laboratory; University of California, Santa Barbara",US,,,,Metallurgical and Materials Transactions A,map,10.1016/j.actamat.2023.119401,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11661-025-07705-8,10.1016/j.ijrmhm.2022.105968,7705_CR25,ON Senkov,2022.0,,Int. J. Refract. Met. Hard Mater.,"O.N. Senkov, T. Daboiku, T.M. Butler, S.I. Rao, and E.J. Payton: Int. J. Refract. Met. Hard Mater., 2022, vol. 109, p. 105968. https://doi.org/10.1016/j.ijrmhm.2022.105968.",Case Western Reserve University; University of Cincinnati,US,,,,Metallurgical and Materials Transactions A,map,10.1016/j.ijrmhm.2022.105968,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11661-025-07705-8,10.1016/j.ijrmhm.2023.106462,7705_CR26,ON Senkov,2024.0,,Int. J. Refract. Met. Hard Mater.,"O.N. Senkov, T.I. Daboiku, W.C. Voellmecke, E.J. Payton, S.J.M. Kuhr, and T.M. Butler: Int. J. Refract. Met. Hard Mater., 2024, vol. 118, p. 106462. https://doi.org/10.1016/j.ijrmhm.2023.106462.",Case Western Reserve University; University of Cincinnati,US,,,,Metallurgical and Materials Transactions A,map,10.1016/j.ijrmhm.2023.106462,0,,[],{},{},2026-05-24T17:42:40Z
10.1007/s11661-025-07911-4,10.1007/s11661-025-07705-8,7911_CR12,UP Ochieze,2025.0,,Metall. Mater. Trans. A,"U.P. Ochieze, L. Sun, N.A. Simpson, S. Josyula, J.T.K. Kim, J. Carter, M.A. Steiner, and E.J. Payton: Metall. Mater. Trans. A, 2025, vol. 56, pp. 1150–70. https://doi.org/10.1007/s11661-025-07705-8.",University of Cincinnati,US,,,,Metallurgical and Materials Transactions A,map,10.1007/s11661-025-07705-8,0,,[],{},{},2026-05-24T17:42:40Z
